PERSONAL INFORMATION,,,,,,,,,,
Name,Dietary Restrictions,Home ,Goals,Collection Date,,,,,,
Soumya Karwa,"Vegetarian, Egg is Fine","Hell's Kitchen, Manhattan, New York",,11/21/24,,,,,,
,,,,,,,,,,
,,,,,,,,,,
RESTAURANT INFORMATION,,,,,,,,,,
Name,Ranking,Rating (of 10),Cuisine,Location,Price Range,Visit Date (MM/DD/YY),Category,Favorite Dishes,Labels,Notes
Oberlin,1,10.0,American,"Downtown Providence, Providence, RI",$$$,5/18/24,,,,
Osteria 57,2,10.0,Italian,"Greenwich Village, Manhattan",$$$,6/20/24,,,,
Kimika,3,9.9,"Italian, Japanese, Asian Fusion","Nolita, Manhattan",$$$,10/18/24,,,,
Locanda Verde,4,9.9,Italian,"Tribeca, Manhattan",$$$,2/9/23,,,,
Wayan,5,9.9,"French, Indonesian, Asian Fusion","Nolita, Manhattan",$$$,1/31/24,,,,
Café Chelsea,6,9.8,French,"Chelsea, Manhattan",$$$,7/27/24,,,,
Kanyakumari NYC,7,9.8,"South Indian, Indian","Union Square, Manhattan",$$$,11/3/24,,,,
Zaytinya,8,9.8,"Greek, Lebanese, Mediterranean, Turkish","NoMad, Manhattan",$$$,7/26/24,,,,
Chinese Tuxedo,9,9.7,Asian Fusion,"Chinatown, Manhattan",$$$,10/3/24,,,,
Hangawi,10,9.7,"Korean, Vegetarian, Vegan","Midtown South, Manhattan",$$$,6/19/20,,,,
Shuka,11,9.7,Mediterranean,"SoHo, Manhattan",$$$,6/20/24,,,,
Amy's Place,12,9.6,Breakfast,"Fox Point, Providence, RI",$,5/25/23,,,,
Bagel Gourmet Ole,13,9.6,Bagels,"College Hill, Providence, RI",$,9/14/22,,,,
figidini,14,9.6,"Italian, Pizza","Downtown Providence, Providence, RI",$$,5/16/23,,,,
Lindens,15,9.6,American,"Hudson Square, Manhattan",$$,1/26/24,,,,
"Fiaschetteria ""Pistoia""",16,9.5,Italian,"West Village, Manhattan",$$,5/30/24,,,,
Laut,17,9.4,"Malaysian, Singaporian, Southeast Asian","Union Square, Manhattan",$$,11/18/23,,,,
Piacere,18,9.4,"Italian, Pizza","Little Italy, Manhattan",$$,11/8/24,,,,
Rubirosa,19,9.4,"Italian, Pizza","Nolita, Manhattan",$$,9/27/24,,,,
Bar Primi Bowery,20,9.3,Italian,"Bowery, Manhattan",$$,2/15/24,,,,
Indigo Indian Restaurant & Bar,21,9.3,Indian,"Hell's Kitchen, Manhattan",$$$,10/20/24,,,,
Koloman,22,9.3,"Austrian, French","NoMad, Manhattan",$$$,8/12/23,,,,
MaLa Project,23,9.3,"Chinese, Szechuan","Little Brazil, Manhattan",$$,11/19/23,,,,
Bangkok Supper Club,24,9.2,Thai,"West Village, Manhattan",$$$$,8/3/24,,,,
Friedman's Hell's Kitchen,25,9.2,American,"Hell's Kitchen, Manhattan",$$,7/20/24,,,,
Valla Table,26,9.2,Thai,"Hell's Kitchen, Manhattan",$$,8/19/24,,,,
